score,title
99,Get Out
96,After the Storm (Umi yori mo mada fukaku)
94,The Red Turtle (La tortue rouge)
96,Graduation (Bacalaureat)
92,A Quiet Passion
92,"I, Daniel Blake"
89,John Wick: Chapter 2
98,Kedi
100,City of Ghosts
100,Truman
93,Dunkirk
90,The Lego Batman Movie
98,Your Name. (Kimi No Na Wa.)
92,Hidden Figures
73,Wonderstruck
67,Cars 3
73,The Blackcoat's Daughter (February)
74,Headshot
73,Catfight
73,The Void
74,To the Bone
69,Gifted
67,Free Fire
72,The Commune (Kollektivet)
67,Life
66,The Fate of the Furious
73,The Sense Of An Ending
74,The Little Hours
75,Wakefield
76,Berlin Syndrome
77,Beatriz at Dinner
76,My Cousin Rachel
78,The Hero
79,Chuck
81,Mean Dreams
71,Beauty and the Beast
75,Split
71,Alien: Covenant
84,Band Aid
84,The Wedding Plan
83,Megan Leavey
78,T2 Trainspotting
78,The Beguiled
79,Personal Shopper
86,Girls Trip
80,Colossal
83,A United Kingdom
86,Captain Underpants: The First Epic Movie (Captain Underpants)
84,Risk
88,Heal the Living (Réparer les vivants)
85,The Transfiguration
87,My Scientology Movie
76,Kong: Skull Island
85,The Girl With All the Gifts
81,Patriots Day
88,Land of Mine (Under Sandet)
88,A Ghost Story
85,Okja
90,I don't feel at home in this world anymore.
84,The Founder
88,Their Finest
92,Abacus: Small Enough to Jail
92,Hounds of Love
93,All This Panic
88,David Lynch: The Art Life
90,Frantz
89,Maudie
91,Lady Macbeth
93,Obit
87,The Lost City of Z
95,The Women's Balcony (Ismach Hatani)
95,The B-Side: Elsa Dorfman's Portrait Photography
81,Guardians of the Galaxy Vol. 2
95,Prevenge
97,The Salesman (Forushande)
94,War for the Planet of the Apes
89,20th Century Women
92,Spider-Man: Homecoming
97,The Big Sick
100,My Life as a Zucchini (Ma vie de courgette)
87,A Monster Calls
98,I Am Not Your Negro
94,Baby Driver
93,Logan
92,Wonder Woman
85,Silence
88,It Comes At Night
