title,score
Get Out,99
The Women's Balcony (Ismach Hatani),95
The B-Side: Elsa Dorfman's Portrait Photography,95
Silence,85
It Comes At Night,88
20th Century Women,89
Prevenge,95
A Monster Calls,87
A Quiet Passion,92
The Red Turtle (La tortue rouge),94
John Wick: Chapter 2,89
Graduation (Bacalaureat),96
"I, Daniel Blake",92
After the Storm (Umi yori mo mada fukaku),96
Cars 3,67
The Void,73
Catfight,73
Wonderstruck,73
The Blackcoat's Daughter (February),73
Free Fire,67
Headshot,74
The Commune (Kollektivet),72
The Fate of the Furious,66
Life,67
Gifted,69
To the Bone,75
Wakefield,75
The Sense Of An Ending,73
The Little Hours,74
Berlin Syndrome,76
My Cousin Rachel,76
Beatriz at Dinner,77
The Hero,78
Chuck,79
Alien: Covenant,71
Mean Dreams,81
Beauty and the Beast,71
Split,75
Megan Leavey,83
Band Aid,84
The Transfiguration,85
T2 Trainspotting,78
The Beguiled,78
Personal Shopper,79
Risk,84
Girls Trip,86
Colossal,80
A United Kingdom,83
Captain Underpants: The First Epic Movie (Captain Underpants),86
The Girl With All the Gifts,85
Heal the Living (Réparer les vivants),88
My Scientology Movie,87
Kong: Skull Island,76
Patriots Day,81
David Lynch: The Art Life,88
Land of Mine (Under Sandet),88
Okja,85
I don't feel at home in this world anymore.,90
Maudie,89
A Ghost Story,88
Their Finest,88
The Founder,84
Lady Macbeth,91
Abacus: Small Enough to Jail,92
All This Panic,93
Obit,93
Hounds of Love,92
Frantz,90
The Lost City of Z,87
Kedi,98
Your Name. (Kimi No Na Wa.),98
City of Ghosts,100
Truman,100
War for the Planet of the Apes,94
The Lego Batman Movie,90
The Big Sick,97
Hidden Figures,92
Guardians of the Galaxy Vol. 2,81
The Salesman (Forushande),97
Spider-Man: Homecoming,92
Baby Driver,94
My Life as a Zucchini (Ma vie de courgette),100
Wonder Woman,92
Logan,93
I Am Not Your Negro,98
The Wedding Plan,84
Dunkirk,94
